Source File	Size	loadResources	load	generateSnapshots	load-configure	scan	loadDepInfo	loadInfo	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	translate	generate1	generate2	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
/fsh-generated/resources/ImplementationGuide-ans.fhir.fr.mappingcdafhir.json	8206	-	0	0	0	0	0	0	10	54	0	0	0	0	0	0	0	1	0	0	0	107	301	0	0	0	8	0	1
fsh-generated/resources/ConceptMap-CdaADToAddressConceptMap.json	4436	4	0	0	2	0	0	0	1	9	0	0	0	0	1	0	0	0	0	0	0	36	152	0	0	0	1	0	0
fsh-generated/resources/ConceptMap-CdaBLToBooleanConceptMap.json	948	1	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	19	93	0	0	0	0	0	0
fsh-generated/resources/ConceptMap-CdaCECSCDToCodeConceptMap.json	7082	2	0	0	0	0	0	0	1	7	0	0	0	0	0	0	0	0	0	0	0	40	167	0	1	0	1	0	0
fsh-generated/resources/ConceptMap-CdaENPNToHumanNameConceptMap.json	5442	2	0	0	0	0	0	0	1	4	0	0	0	0	1	0	0	0	0	0	0	27	119	1	0	0	1	0	0
fsh-generated/resources/ConceptMap-CdaIIToIdentifierConceptMap.json	2488	2	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	19	56	0	0	0	1	0	0
fsh-generated/resources/ConceptMap-CdaINTToIntegerConceptMap.json	939	1	0	0	0	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	12	43	0	0	0	0	0	0
fsh-generated/resources/ConceptMap-CdaIVL-TSToPeriodConceptMap.json	2028	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	14	48	0	0	0	0	0	0
fsh-generated/resources/ConceptMap-CdaPQToQuantityConceptMap.json	1825	2	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	15	47	0	0	0	1	0	0
fsh-generated/resources/ConceptMap-CdaRTO-PQ-PQToRatioConceptMap.json	1496	1	0	0	1	0	0	0	0	705	0	0	0	0	1	0	0	0	0	0	0	11	50	0	0	0	0	0	0
fsh-generated/resources/ConceptMap-CdaSTEDONToStringConceptMap.json	2078	1	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	15	46	0	0	0	1	0	0
fsh-generated/resources/ConceptMap-CdaTELToContactPointConceptMap.json	2226	2	0	0	0	0	0	0	1	3	0	0	0	0	1	0	0	0	0	0	0	19	40	0	0	0	0	0	0
fsh-generated/resources/ConceptMap-CdaTSToDateTimeConceptMap.json	2153	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	23	48	0	0	0	1	0	1
input/attachments/CSE-MDE_2023.01.xml	24358	57	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	1	0	0	0	48	105	0	0	0	0	0	0
input/fml/CDAFrMDEToBundle.fml	7746	7	0	0	0	0	0	0	3	18	0	0	0	0	1	0	0	0	0	0	0	109	67	0	0	0	5	0	0
input/fml/CDAFrToBundle.fml	11481	7	0	0	0	0	0	0	3	20	0	0	0	0	0	0	0	1	0	0	0	128	67	0	0	0	6	0	1
input/fml/CDAtoFHIRTypes.fml	9762	10	0	0	0	0	0	0	4	27	0	0	0	0	0	0	0	0	0	0	0	143	85	0	0	0	7	0	0
input/fml/CdaToBundle.fml	24655	21	0	0	0	0	0	0	7	52	0	0	0	0	1	0	0	1	0	0	0	351	169	0	0	0	19	0	1
input/resources/Bundle-fe569e1f-32d4-4ba4-b5ad-88082bf5470a.json	19447	7	41	0	0	0	0	0	1	631	0	0	0	0	0	0	0	0	0	0	0	82	97	0	0	0	0	0	0
input/resources/ConceptMap-cm-oid-specialite-ordinale.json	1231	2	0	0	0	0	0	0	0	1766	0	0	0	0	0	0	0	0	0	0	0	15	45	0	0	0	1	0	0
input/resources/ConceptMap-cm-v3-administrative-gender.json	1926	1	0	0	0	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	17	35	0	0	0	0	0	0
input/resources/ConceptMap-oid2uri-ans.json	777	1	0	0	0	0	0	0	0	222	0	0	0	0	0	0	0	0	0	0	0	13	350	0	0	0	1	0	0
/fsh-generated/includes/fsh-link-references.md	1179	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
/fsh-generated/includes/menu.xml	2121	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
/input/data/features.yml	166	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
/input/pagecontent/mapping-cda-fhir.md	45	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
/input/pagecontent/index.md	5555	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
/input/pagecontent/guide-demarrage.md	7963	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
/input/pagecontent/outils-mapping.md	19284	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0
/input/pagecontent/change-log.md	333	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
/input/pagecontent/mapping-mechanisms.md	36514	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0
/template/config	0	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
/template/config/_config.yml	140	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
/input/images	0	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
/input/images/anImage.png	36288	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
/input/images/termX.png	153775	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
/input/images/ci-sis-logo.png	61365	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
/temp/pages/_includes/artifacts.xml	13923	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	0	0	0	0	0	0
